** ------------ # Nephi, UT              06Apr17 ------------
**++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
**           Control Points for Nephi, Utah [OLC/Cross-Country Camp]           +
**                                                                             +
**               See also the Nephi contest control points only                +
**  Waypoints with a starting "x" are private airports or outlanding places,   +
**       which therefore are not eligible for the airport landing bonus.       +
**                                                                             +
**                          Contributed by Lynn Alley                          +
**                                                                             +
**                     Contribution date was 04 April 2017                     +
**              File created Thursday, 06 April 2017 at 04:20 GMT              +
**         Available from the Worldwide Soaring Turnpoint Exchange at          +
**                            http://soaringweb.org/TP                         +
**                 or http://soaring.guenther-eichhorn.com/TP                  +
**                     or http://soaring.geichhorn.com/TP                      +
**                     or http://serkowski.com/soaring/TP                      +
**                    or http://soaring.silentflight.ca/TP                     +
**                       or http://soaring.gahsys.com/TP                       +
**                                                                             +
**                           Magnetic variation: 12E                           +
**                                                                             +
**                           Time zone: US/Mountain                            +
**         Summer offset from GMT is -6:00, and in Winter it is -7:00          +
**                                                                             +
**   >>>>> Control point names have the number placed before the name <<<<<    +
**                    Comment is Frequency where available                     +
**                                                                             +
**              NOTE: There are 260 waypoints in this collection.              +
**           The CAI GPS-NAV can handle only 250, so edit this file            +
**                 with Notepad on your PC or the CAI software                 +
**                   to choose the 250 that you wish to use.                   +
**                It would be prudent to choose fewer than 250.                +
**               to leave room for 'MarkPoints' and a 'Thermal'.               +
**                                                                             +
**    There is no virtually no limit for CAI Pocket-NAV and WinPilot users.    +
**                                                                             +
**                      UNOFFICIAL, USE AT YOUR OWN RISK                       +
**                                                                             +
**          Do not use for navigation, for flight verification only.           +
**                                                                             +
**      Always consult the relevant publications for current and correct       +
**  information. This service is provided free of charge with no warrantees,   +
**                            expressed or implied.                            +
**                        User assumes all risk of use.                        +
**                                                                             +
**++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2,39:40:58N,111:58:27W,6122F,TS,02 SWStart  ,South West S
3,39:49:51N,111:58:34W,5494F,TS,03 NWStart  ,North West S
4,39:39:55N,111:45:38W,7562F,TS,04 SEStart  ,South East S
5,39:43:57N,111:52:12W,5022F,HAF,05 FINISH   ,123.075A100
10,38:13:50N,112:40:31W,5863F,TA,10 BeaverMun,122.9A75
11,37:42:36N,113:38:45W,5181F,TA,11 xBerylJnc,P18/36D75
12,38:59:23N,113:45:06W,5095F,T,12 BFE      ,Turnpoint
13,39:23:28N,111:45:06W,8785F,T,13 BigBaldy ,Turnpoint
14,40:25:41N,110:07:29W,6053F,T,14 BrownsDrw,Turnpoint
15,39:49:51N,111:21:13W,8990F,T,15 Browns Pk,Turnpoint
16,37:35:04N,112:23:33W,7600F,T,16 BrcWdlnds,TP Only
17,38:02:47N,112:33:41W,7508F,T,17 BurntPeak,Turnpoint
18,39:36:50N,110:45:05W,5958F,TA,18 CrbnCntRg,122.8A100
19,39:27:14N,110:35:15W,5460F,T,19 Carbonnt.,Turnpoint
20,39:11:19N,110:36:12W,7538F,TL,20 xCedarMtn,PRI-L 40G
21,39:36:59N,112:13:13W,7438F,T,21 ChamplnPk,Turnpoint
22,38:53:35N,113:00:33W,7235F,T,22 CrcktMtns,Turnpoint
23,38:35:39N,112:41:44W,5843F,T,23 Crispy   ,Turnpoint
24,38:22:09N,112:22:17W,12174F,T,24 Delano Pk,Turnpoint
25,39:23:01N,112:30:08W,4759F,TA,25 DeltaMuni,122.8A75
26,39:33:41N,112:59:13W,7301F,T,26 Drum Mtns,Turnpoint
27,40:11:38N,110:22:59W,5831F,TA,27 DuchesnMn,122.8A60
28,38:37:16N,111:05:40W,7054F,T,28 ECedarMtn,Turnpoint
29,38:53:08N,111:14:59W,6133F,TL,29 xEmrSFlds,Unverified
30,37:44:43N,111:34:13W,5737F,TA,30 EscalntMn,122.8A60
31,39:05:29N,111:07:56W,5961F,T,31 Ferron   ,Turnpoint
32,40:06:49N,109:55:02W,4991F,TL,32 xFrstFlds,Unverified
33,41:00:04N,111:03:00W,7110F,T,33 GasPlant ,Turnpoint
34,38:44:30N,113:23:50W,4998F,T,34 GB Int.  ,Turnpoint
35,40:04:04N,109:24:42W,4848F,T,35 GemPonds ,ColoredPond
36,38:57:41N,110:13:39W,4225F,TA,36 GrenRvrMn,122.8A75
37,39:24:17N,112:01:33W,5027F,TL,37 xGregsBch,Unverified
38,37:54:52N,111:53:25W,10772F,T,38 GriffinTp,Turnpoint
39,38:25:05N,110:42:15W,4446F,TA,39 Hanksvill,122.8A75
40,39:21:40N,110:55:01W,5915F,TA,40 HntngtnMn,122.8A75
41,38:52:52N,110:39:32W,6633F,TL,41 xI70ffRmp,Unverified
42,38:09:53N,113:50:56W,8606F,T,42 Indian Pk,Turnpoint
43,39:06:20N,112:08:05W,8569F,T,43 Indian Rc,Turnpoint
44,39:17:18N,111:16:26W,6954F,T,44 JoesVllDm,Turnpoint
45,40:38:35N,111:16:51W,6482F,T,45 Kamas    ,Turnpoint
46,38:45:44N,112:23:06W,5910F,T,46 KanoshCnn,Turnpoint
47,40:46:35N,110:22:22W,13400F,T,47 KingsPeak,Turnpoint
48,39:26:47N,111:20:01W,10692F,T,48 Knob Mtn ,Turnpoint
49,38:18:12N,113:36:34W,8586F,T,49 LamrdrfPk,Turnpoint
50,39:28:19N,110:00:47W,5204F,T,50 MiddlNwhr,Desolation C
51,38:25:36N,113:00:48W,5042F,TA,51 MilfordMn,122.8A75
52,40:42:23N,110:53:22W,10025F,T,52 Mirror Lk,Turnpoint
53,38:32:26N,112:04:30W,10872F,T,53 Monroe Pk,Turnpoint
54,39:11:50N,109:45:33W,9420F,T,54 MormonRdg,Turnpoint
55,39:07:23N,111:30:38W,10446F,T,55 Mt Baldy ,Turnpoint
56,38:06:25N,110:48:34W,11127F,T,56 Mt Ellen ,Turnpoint
57,38:41:34N,114:44:32W,10999F,T,57 MtGrafton,Turnpoint
58,39:48:38N,111:45:59W,11883F,T,58 MountNebo,Turnpoint
59,39:31:36N,111:28:34W,5830F,TLW,59 xMtPlesnt,ClosedApt
60,40:23:27N,111:38:45W,11758F,T,60 MountTimp,Turnpoint
61,38:15:09N,114:23:40W,8849F,T,61 MtWilsnVR,Turnpoint
62,38:37:39N,113:58:08W,8141F,T,62 Mtn Home ,Turnpoint
63,37:57:34N,113:11:44W,5585F,T,63 MudSprngs,Turnpoint
64,37:41:10N,112:51:56W,10589F,T,64 NavajoPnt,Turnpoint
65,39:44:16N,111:52:02W,5022F,T,65 NephiMuni,123.075A100
66,39:46:32N,110:27:57W,6695F,T,66 NineMilRc,Turnpoint
67,38:04:14N,111:22:30W,10101F,T,67 OakCrekDm,Turnpoint
68,40:44:39N,109:37:17W,9270F,T,68 OaksPrkDm,Turnpoint
69,39:07:54N,112:33:07W,5662F,T,69 PahvntBtt,Turnpoint
70,37:50:43N,112:23:31W,6762F,TA,70 PangtchMn,122.9A75
71,39:10:16N,113:24:00W,8580F,T,71 PinePeak ,Turnpoint
72,38:44:03N,112:06:06W,5318F,TA,72 RichfldMn,122.8A100
73,38:53:29N,111:36:41W,7036F,T,73 SalinaCnn,Turnpoint
74,39:01:45N,111:50:18W,5159F,TA,74 SalnGnnsn,122.9A60
75,39:38:11N,111:44:26W,9101F,T,75 SaltCrkPk,Turnpoint
76,39:49:51N,109:55:41W,5402F,TL,76 xSandWash,PRI-TL 50G
77,39:59:00N,111:37:26W,10696F,T,77 SantaqnPk,Turnpoint
78,39:46:01N,111:09:16W,7618F,T,78 Scfldslnd,Turnpoint
79,39:31:49N,111:03:44W,9602F,T,79 StarPoint,Turnpoint
80,40:08:12N,111:01:37W,7600F,T,80 StrwbrrDm,Turnpoint
81,38:08:45N,112:07:03W,8590F,T,81 Table Mtn,Turnpoint
82,39:49:11N,112:04:08W,8224F,T,82 TinticMtn,Turnpoint
83,39:14:32N,112:54:50W,4575F,T,83 Tracks   ,Turnpoint
84,40:26:27N,109:30:36W,5278F,TA,84 VernlRgnl,122.7A150
85,38:21:46N,111:35:45W,7029F,TA,85 WnWndrlnd,122.9A75
86,38:59:19N,114:18:55W,12081F,T,86 WheelerPk,Turnpoint
87,38:36:06N,111:43:59W,11395F,T,87 WhiskKnll,Turnpoint
88,38:52:00N,112:14:00W,0F,T,88 WhitePnPk,Turnpoint
89,39:17:41N,112:11:50W,9236F,T,89 WillimsPk,Turnpoint
90,40:28:35N,111:01:28W,9955F,T,90 WolfCrkPk,Turnpoint
91,39:59:24N,110:35:57W,6941F,T,91 Worn     ,Turnpoint
100,39:44:16N,111:09:22W,7673F,L,xFields     ,Unverified
101,38:29:20N,110:55:30W,4720F,L,xSeleniteMin,Unverified
102,42:55:16N,112:52:51W,4474F,A,AberdeenMuni,122.9A50
103,42:42:32N,110:56:32W,6221F,A,AftonMuni   ,122.8A75
104,42:47:50N,112:49:31W,4419F,A,AmericanFlls,122.8A50
105,42:43:15N,111:52:03W,5435F,A,BancroftMuni,122.9D30
106,42:14:59N,111:20:30W,5933F,A,BearLakeCnty,122.8A75
